obs_index,CooksD,threshold
7413,0.00028663577218220184,2.117825205296681e-05
7419,2.7268280684382296e-05,2.117825205296681e-05
7462,8.88953117345365e-05,2.117825205296681e-05
7464,7.283116775477712e-05,2.117825205296681e-05
7466,4.157806446380679e-05,2.117825205296681e-05
7468,6.430610465324368e-05,2.117825205296681e-05
7578,5.404200645409763e-05,2.117825205296681e-05
7623,3.801219822300188e-05,2.117825205296681e-05
7629,3.1589181362604356e-05,2.117825205296681e-05
7661,4.78644718519489e-05,2.117825205296681e-05
7669,8.791764165369776e-05,2.117825205296681e-05
7690,0.00010949043637386292,2.117825205296681e-05
7694,8.179951628051211e-05,2.117825205296681e-05
7695,0.0001270735174976989,2.117825205296681e-05
7696,4.821403093625368e-05,2.117825205296681e-05
7766,6.712002285254521e-05,2.117825205296681e-05
7806,2.250529427034658e-05,2.117825205296681e-05
7808,2.4565422938533103e-05,2.117825205296681e-05
7839,3.585974241067545e-05,2.117825205296681e-05
7844,2.8360350738227944e-05,2.117825205296681e-05
7846,4.2245572196109064e-05,2.117825205296681e-05
7862,6.370821923665027e-05,2.117825205296681e-05
7873,4.754155949993834e-05,2.117825205296681e-05
7881,0.0002985664854450837,2.117825205296681e-05
7896,3.9878865151761876e-05,2.117825205296681e-05
7910,3.38721770580722e-05,2.117825205296681e-05
7984,0.00012122512531467557,2.117825205296681e-05
8001,7.063620912906795e-05,2.117825205296681e-05
8008,6.748897130602827e-05,2.117825205296681e-05
8018,0.00011241909250925882,2.117825205296681e-05
8021,3.4050014031330474e-05,2.117825205296681e-05
8049,3.809047244846312e-05,2.117825205296681e-05
8051,2.3412557443243084e-05,2.117825205296681e-05
8060,3.4086858951563e-05,2.117825205296681e-05
8066,0.00014768616900638854,2.117825205296681e-05
8104,0.0001746595019012846,2.117825205296681e-05
8123,4.794361750794619e-05,2.117825205296681e-05
8126,2.2861958541389983e-05,2.117825205296681e-05
8128,2.5787366349107008e-05,2.117825205296681e-05
8173,3.767139154362263e-05,2.117825205296681e-05
8183,9.890878355086907e-05,2.117825205296681e-05
8196,9.48727169223887e-05,2.117825205296681e-05
8200,2.229532256601877e-05,2.117825205296681e-05
8223,2.829977507237417e-05,2.117825205296681e-05
8228,0.00020627659693440867,2.117825205296681e-05
8238,0.00012095250391225661,2.117825205296681e-05
8241,0.00010534681773565224,2.117825205296681e-05
8264,0.00010355531951987559,2.117825205296681e-05
8271,2.5666368014040382e-05,2.117825205296681e-05
8274,3.719051156815573e-05,2.117825205296681e-05
8305,2.252461088903252e-05,2.117825205296681e-05
8307,2.7485193290798466e-05,2.117825205296681e-05
8311,3.884195179149193e-05,2.117825205296681e-05
8325,6.258110552335872e-05,2.117825205296681e-05
8353,0.00014694201779963498,2.117825205296681e-05
8363,5.463273580145292e-05,2.117825205296681e-05
8385,3.8000200502760074e-05,2.117825205296681e-05
8400,3.889357969869545e-05,2.117825205296681e-05
8425,7.081189596134232e-05,2.117825205296681e-05
8430,4.537116663808234e-05,2.117825205296681e-05
8431,0.00017896458813520166,2.117825205296681e-05
8436,0.00016911329793348523,2.117825205296681e-05
8457,4.347974063446648e-05,2.117825205296681e-05
8500,2.5482400529102314e-05,2.117825205296681e-05
8551,0.00010007173935858108,2.117825205296681e-05
8557,0.00012972124693621105,2.117825205296681e-05
8561,0.0001864011258786419,2.117825205296681e-05
8574,2.489618290725227e-05,2.117825205296681e-05
8640,4.9922184651492434e-05,2.117825205296681e-05
8649,4.4065000917158316e-05,2.117825205296681e-05
8653,4.02426582943575e-05,2.117825205296681e-05
8661,0.00017469091573579538,2.117825205296681e-05
8672,5.888111910777101e-05,2.117825205296681e-05
8687,4.8279111291631756e-05,2.117825205296681e-05
8692,0.00031912782581772556,2.117825205296681e-05
8708,0.00016781785435631652,2.117825205296681e-05
8763,4.7879831091557573e-05,2.117825205296681e-05
8776,5.2206067053370554e-05,2.117825205296681e-05
8787,2.7455771942681046e-05,2.117825205296681e-05
8793,5.515124232174713e-05,2.117825205296681e-05
8794,4.899506904752414e-05,2.117825205296681e-05
8796,5.0049375719914336e-05,2.117825205296681e-05
8800,5.29184699081429e-05,2.117825205296681e-05
8802,9.696706500032238e-05,2.117825205296681e-05
8811,8.002538270908844e-05,2.117825205296681e-05
8814,3.315266658132939e-05,2.117825205296681e-05
8829,4.266761177004158e-05,2.117825205296681e-05
8833,6.268351816360055e-05,2.117825205296681e-05
8836,2.78213894162139e-05,2.117825205296681e-05
